word,frequency,normalized_frequency,log_likelihood,chi_squared,effect_size
aws,2812,12079.87,2003.02,558.66,11370.78
microsoft,1998,8583.06,1801.07,454.25,8512.86
amazon,1420,6100.08,1071.91,292.84,5826.27
data,2630,11298.03,303.74,107.95,5449.79
copilot,1146,4923.02,962.99,251.63,4817.71
cloud,1059,4549.28,470.51,147.37,3713.82
customers,972,4175.54,419.4,132.03,3375.19
azure,754,3239.05,677.74,171.2,3210.97
solutions,752,3230.46,565.83,154.77,3083.03
service,916,3934.98,279.76,92.47,2811.67
business,758,3256.24,326.81,102.9,2631.4
services,720,3093.0,277.66,89.0,2404.97
solution,558,2397.07,281.02,85.93,2039.02
customer,547,2349.82,236.42,74.4,1900.49
organizations,474,2036.22,275.94,81.63,1811.56
help,658,2826.65,149.23,50.81,1801.63
account,491,2109.25,215.97,67.76,1716.09
partners,443,1903.05,227.65,69.32,1629.24
capabilities,510,2190.87,167.53,54.89,1608.15
security,784,3367.93,80.29,28.69,1542.55
management,444,1907.35,189.21,59.69,1535.25
partner,399,1714.04,232.06,68.67,1524.48
innovation,391,1679.67,232.7,68.45,1504.15
across,743,3191.8,74.76,26.73,1450.67
digital,354,1520.72,209.34,61.68,1359.25
sagemaker,309,1327.41,283.5,70.79,1320.39
employees,319,1370.37,207.03,59.46,1258.04
region,380,1632.41,139.16,44.94,1246.28
quantum,294,1262.97,246.03,64.41,1234.89
technology,396,1701.15,117.56,38.98,1202.68
resource,334,1434.81,144.56,45.48,1161.0
generative,289,1241.49,185.48,53.45,1136.18
insights,315,1353.19,152.11,46.91,1135.54
industry,346,1486.36,126.88,40.97,1135.32
cost,398,1709.74,93.72,31.81,1105.96
bing,259,1112.62,236.11,59.17,1105.6
experience,474,2036.22,69.76,24.48,1088.43
company,355,1525.02,104.74,34.76,1075.69
following,485,2083.48,65.26,23.02,1072.5
based,520,2233.83,58.88,20.94,1068.39
windows,260,1116.92,182.08,51.07,1046.71
resources,354,1520.72,85.65,29.0,994.17
choose,332,1426.21,88.95,29.82,969.87
teams,369,1585.16,75.02,25.77,967.34
learning,292,1254.38,99.0,32.31,931.43
software,299,1284.45,91.75,30.31,919.38
console,224,962.27,164.7,45.43,913.12
products,324,1391.85,77.84,26.37,907.42
name,331,1421.92,72.8,24.85,895.37
agent,364,1563.68,62.28,21.66,889.69
