word,frequency,normalized_frequency,log_likelihood,chi_squared,effect_size
supabase,952,6683.7,1844.25,590.61,6683.7
database,801,5623.58,752.87,289.45,4785.89
like,881,6185.23,405.01,159.9,4149.01
perplexity,572,4015.84,1094.36,353.49,4011.54
fly,511,3587.58,946.92,311.55,3570.39
postgres,529,3713.95,773.47,277.54,3542.12
app,498,3496.31,400.88,155.84,2839.05
want,464,3257.6,317.34,124.3,2510.13
get,507,3559.49,212.97,84.12,2309.41
code,486,3412.06,182.75,72.2,2123.31
any,473,3320.79,188.78,74.58,2113.66
run,456,3201.44,180.88,71.46,2032.97
project,334,2344.91,206.88,81.29,1747.79
need,500,3510.35,106.2,41.81,1740.47
sqlite,244,1713.05,472.69,151.38,1713.05
let,284,1993.88,239.06,92.68,1641.62
make,437,3068.04,110.45,43.55,1633.24
first,428,3004.86,111.16,43.84,1617.31
users,481,3376.96,87.91,34.55,1572.71
even,312,2190.46,173.14,68.2,1571.86
server,377,2646.8,99.03,39.06,1431.08
way,331,2323.85,106.47,42.04,1361.59
write,256,1797.3,156.4,61.47,1333.35
api,395,2773.18,77.41,30.45,1329.78
table,272,1909.63,134.92,53.23,1316.81
tokens,201,1411.16,259.53,95.71,1308.06
comet,178,1249.68,344.83,110.43,1249.68
pro,199,1397.12,210.44,79.95,1229.58
functions,262,1839.42,117.01,46.2,1220.82
lot,184,1291.81,252.25,91.9,1214.48
node,188,1319.89,224.32,83.86,1199.61
file,338,2373.0,69.6,27.39,1161.57
start,258,1811.34,103.25,40.79,1154.08
things,197,1383.08,151.98,59.22,1108.14
page,236,1656.88,107.32,42.38,1107.02
without,283,1986.86,79.21,31.25,1101.92
token,198,1390.1,146.09,57.04,1097.98
machines,167,1172.46,208.56,77.38,1077.95
something,175,1228.62,180.59,68.8,1073.97
read,245,1720.07,85.74,33.87,1041.33
running,251,1762.19,78.91,31.16,1023.31
gpu,173,1214.58,153.92,59.44,1016.97
single,237,1663.91,83.71,33.07,1010.94
features,246,1727.09,72.86,28.76,979.62
function,236,1656.88,77.39,30.56,978.14
set,283,1986.86,58.97,23.21,977.34
means,182,1277.77,121.63,47.68,977.06
instead,173,1214.58,133.85,52.14,974.01
memory,173,1214.58,130.17,50.78,965.42
request,208,1460.3,83.6,33.02,931.92
